Screen, Action, Date --- Time
Estimote Service,Killed Estimote Service at,08/05/2019 20:04:46.312
Estimote Timer,Started Estimote Service at,08/05/2019 20:06:31.260
Estimote Timer,No Activity at 4,08/05/2019 20:06:31.272
Estimote Sensor,Killed Sensor at,08/05/2019 20:06:46.297
Estimote Service,Killed Estimote Service at,08/05/2019 20:06:46.309
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 20:07:42.322
Heart Rate Sensor,Killed Sensor at,08/05/2019 20:08:12.400
Estimote Timer,Started Estimote Service at,08/05/2019 20:08:31.261
Estimote Timer,No Activity at 5,08/05/2019 20:08:31.276
Estimote Timer,Stopped the Estimote Timer,08/05/2019 20:08:31.285
Estimote Timer,Stopped Estimote Timer at,08/05/2019 20:08:31.295
Estimote Timer,Started Estimote Service at,08/05/2019 20:09:43.952
Estimote Timer,No Activity at 1,08/05/2019 20:09:43.978
Estimote Sensor,Killed Sensor at,08/05/2019 20:09:59.007
Estimote Service,Killed Estimote Service at,08/05/2019 20:09:59.022
Estimote Timer,Started Estimote Service at,08/05/2019 20:11:43.954
Estimote Timer,No Activity at 2,08/05/2019 20:11:43.968
Estimote Sensor,Killed Sensor at,08/05/2019 20:11:58.997
Estimote Service,Killed Estimote Service at,08/05/2019 20:11:59.015
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 20:12:42.323
Heart Rate Sensor,Killed Sensor at,08/05/2019 20:13:12.396
Estimote Timer,Started Estimote Service at,08/05/2019 20:13:43.956
Estimote Timer,No Activity at 3,08/05/2019 20:13:43.969
Estimote Sensor,Killed Sensor at,08/05/2019 20:13:58.994
Estimote Service,Killed Estimote Service at,08/05/2019 20:13:59.007
Estimote Timer,Started Estimote Service at,08/05/2019 20:15:43.957
Estimote Timer,No Activity at 4,08/05/2019 20:15:43.971
Estimote Sensor,Killed Sensor at,08/05/2019 20:15:58.997
Estimote Service,Killed Estimote Service at,08/05/2019 20:15:59.009
